StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,ExamScore,Result
1001,17,Male,Asian,Secondary,19.833722807854716,7,1,Moderate,No,No,Yes,No,73.0,Pass
1002,18,Female,Asian,Primary,15.40875605584674,0,0,Low,No,No,No,No,76.0,Pass
1003,15,Female,Hispanic,Higher Education,4.21056976881226,26,0,Moderate,No,No,No,No,3.0,Fail
1004,17,Male,Asian,Higher Education,10.028829473958217,14,0,High,Yes,No,No,No,51.0,Pass
1005,17,Male,Asian,Secondary,4.6724952729713305,17,1,High,No,No,No,No,32.0,Fail
1006,18,Female,Asian,Primary,8.191218545250186,0,0,Low,Yes,No,No,No,77.0,Pass
1007,15,Female,Black,Primary,15.601680474699297,10,0,High,No,Yes,No,No,69.0,Pass
1008,15,Male,Black,University Education,15.424496305808074,22,1,Low,Yes,No,No,No,34.0,Fail
1009,17,Female,Asian,None,4.562007558047703,1,0,Moderate,No,Yes,No,Yes,72.0,Pass
1010,16,Male,Asian,Primary,18.4444663630972,0,0,High,Yes,No,No,No,89.0,Pass
1011,17,Female,Asian,Primary,11.851363655296536,11,0,Low,No,No,No,No,54.0,Pass
1012,17,Female,Asian,Primary,7.59848581924029,15,0,Moderate,No,No,No,Yes,39.0,Fail
1013,17,Female,Black,Primary,10.038711615617212,21,0,High,Yes,No,No,No,38.0,Fail
1014,17,Female,Black,Secondary,12.101425068754876,21,0,Very High,No,Yes,No,No,44.0,Fail
1015,18,Male,Asian,Primary,11.197810636915708,9,1,Moderate,No,No,No,No,60.0,Pass
1016,15,Female,Asian,Secondary,9.728100710723565,17,1,None,No,Yes,No,No,34.0,Fail
1017,18,Female,White,Primary,10.098656081788002,14,0,Moderate,Yes,Yes,No,No,56.0,Pass
1018,18,Male,Asian,None,3.5282382085577235,16,1,Moderate,No,No,No,No,35.0,Fail
1019,18,Female,Black,Higher Education,16.25465808609359,29,0,Moderate,Yes,No,No,Yes,12.0,Fail
1020,17,Female,Asian,Primary,10.835206398820308,9,0,Moderate,No,No,Yes,No,60.0,Pass
1021,16,Male,Asian,Higher Education,2.621597234094062,2,0,High,No,No,No,Yes,69.0,Pass
1022,15,Female,Asian,Secondary,15.32314203165556,25,0,Low,Yes,No,No,No,9.0,Fail
1023,16,Male,Black,None,18.648879567547016,29,1,Low,No,No,No,No,8.0,Fail
1024,18,Male,White,University Education,18.94613798473924,20,0,Moderate,Yes,No,No,No,44.0,Fail
1025,18,Male,Asian,Primary,7.380354648223455,15,0,Moderate,No,No,No,No,38.0,Fail
1026,16,Male,Asian,Higher Education,2.7103374712150807,5,0,Very High,No,No,Yes,No,74.0,Pass
1027,16,Female,Asian,Primary,10.367992532661304,2,0,Moderate,No,Yes,No,No,74.0,Pass
1028,16,Male,Asian,Higher Education,2.2521845869844137,8,0,High,No,No,Yes,No,54.0,Pass
1029,18,Female,Asian,None,18.679748370252344,10,0,High,Yes,No,No,No,71.0,Pass
1030,18,Female,Asian,Secondary,3.67159254710292,20,0,High,Yes,No,No,No,38.0,Fail
1031,15,Female,Hispanic,Secondary,5.055317199023282,12,1,None,No,Yes,No,No,43.0,Fail
1032,15,Female,Asian,Higher Education,8.132730537699409,17,0,Very High,No,No,No,Yes,46.0,Fail
1033,18,Female,Asian,Higher Education,7.663289371182516,25,0,Low,No,Yes,No,No,10.0,Fail
1034,16,Female,White,Higher Education,15.89325784795778,21,0,None,Yes,Yes,No,No,24.0,Fail
1035,16,Female,Asian,Higher Education,9.126336411019247,27,1,Moderate,Yes,Yes,No,No,29.0,Fail
1036,15,Female,White,Primary,3.415365200066738,23,0,Low,No,No,No,No,7.0,Fail
1037,18,Female,Asian,Primary,5.344197909721482,26,1,Low,No,No,No,No,5.0,Fail
1038,15,Female,Hispanic,Primary,10.18226770375044,21,1,Low,No,Yes,No,No,27.0,Fail
1039,15,Male,Black,Primary,2.949078348522698,3,1,Low,Yes,Yes,No,No,75.0,Pass
1040,17,Male,Hispanic,Primary,12.233113512920282,21,1,High,Yes,Yes,No,No,38.0,Fail
1041,17,Male,White,Secondary,11.314946131022918,23,1,Low,No,No,No,No,26.0,Fail
1042,17,Female,Asian,Primary,14.294046327645152,7,0,Moderate,No,No,No,No,66.0,Pass
1043,16,Male,White,Secondary,18.754092307587356,12,1,Very High,No,No,No,No,70.0,Pass
1044,18,Male,Asian,Primary,18.245091222023117,9,0,Moderate,No,Yes,No,No,72.0,Pass
1045,18,Male,Asian,Primary,18.921512361376628,1,1,High,Yes,Yes,No,No,100.0,Pass
1046,18,Female,Asian,Secondary,4.894311940474019,7,0,Very High,No,No,Yes,No,63.0,Pass
1047,18,Female,Black,Secondary,2.6313061327870924,5,0,Low,Yes,No,No,No,64.0,Pass
1048,17,Female,Asian,Secondary,6.04553400992897,15,0,Moderate,No,No,No,No,43.0,Fail
1049,16,Female,Black,Secondary,17.90170345532629,17,0,High,No,No,Yes,No,52.0,Pass
1050,16,Male,Black,Primary,19.441069492469765,16,0,Very High,Yes,No,No,No,62.0,Pass
1051,17,Male,Hispanic,Secondary,17.18649902140952,5,0,High,No,No,No,No,73.0,Pass
1052,16,Male,Hispanic,None,2.200354422550872,12,1,Low,Yes,No,Yes,No,50.0,Pass
1053,17,Male,Asian,Primary,18.948559961195865,22,0,Very High,No,No,Yes,No,39.0,Fail
1054,18,Female,Asian,Secondary,8.46716054701572,13,0,Low,No,Yes,No,No,42.0,Fail
1055,17,Female,Asian,None,0.1862058152470735,29,1,Moderate,Yes,Yes,No,No,19.0,Fail
1056,18,Female,Asian,Primary,8.847874814963872,25,0,Moderate,No,Yes,No,No,20.0,Fail
1057,18,Male,Asian,University Education,0.9213833935093518,20,0,Moderate,No,Yes,Yes,No,34.0,Fail
1058,15,Female,Asian,University Education,10.87755842322235,29,0,High,Yes,No,No,No,7.0,Fail
1059,17,Female,Asian,Primary,6.771080548741026,9,1,High,No,Yes,No,No,65.0,Pass
1060,15,Male,White,None,9.468698671880976,23,0,High,No,Yes,No,No,23.0,Fail
1061,17,Male,Black,Primary,12.26340721486234,10,0,None,Yes,No,Yes,No,47.0,Fail
1062,17,Female,Asian,Primary,17.376021916356407,12,0,Moderate,No,No,Yes,No,58.0,Pass
1063,15,Female,Black,Higher Education,13.238031529438572,11,0,High,No,Yes,No,No,56.0,Pass
1064,15,Female,Asian,Primary,8.680977369563614,8,0,Moderate,No,Yes,No,No,60.0,Pass
1065,17,Female,Asian,Secondary,16.388557073407302,3,1,Very High,No,No,No,No,84.0,Pass
1066,16,Female,Black,Primary,18.111642751462643,6,1,High,Yes,No,No,No,82.0,Pass
1067,18,Female,Asian,University Education,2.3951993286439444,23,0,High,No,Yes,No,No,26.0,Fail
1068,15,Male,Asian,Primary,10.638659551055827,28,0,None,No,Yes,No,No,1.0,Fail
1069,18,Male,White,Secondary,5.690239194848883,21,1,High,No,No,Yes,No,33.0,Fail
1070,16,Male,Hispanic,Primary,0.941223957538948,1,0,Very High,No,No,Yes,No,82.0,Pass
1071,16,Female,Black,Secondary,13.370933902279706,6,0,Moderate,Yes,No,No,No,73.0,Pass
1072,16,Male,Black,Primary,17.255415549184512,28,0,High,No,No,Yes,Yes,18.0,Fail
1073,15,Female,Black,Primary,3.258053089547881,8,0,Moderate,Yes,Yes,No,No,64.0,Pass
1074,16,Female,Asian,Higher Education,16.24827315247801,4,1,Moderate,No,No,No,No,83.0,Pass
1075,15,Male,Asian,Higher Education,17.067914670738833,14,0,High,Yes,No,Yes,No,55.0,Pass
1076,16,Female,Asian,Higher Education,18.28680885332967,17,0,High,No,Yes,No,No,46.0,Fail
1077,18,Female,Asian,Secondary,5.305701781721048,3,0,High,No,No,No,No,68.0,Pass
1078,18,Male,Black,Higher Education,18.079061303797783,18,1,Low,Yes,Yes,No,No,53.0,Pass
1079,17,Male,Asian,None,6.413255094728645,19,0,Low,No,No,No,No,24.0,Fail
1080,18,Male,White,Primary,11.046760269110056,25,0,High,No,Yes,No,No,25.0,Fail
1081,17,Female,White,Primary,1.0101494166456426,6,0,Low,No,Yes,No,No,52.0,Pass
1082,18,Male,Hispanic,Secondary,0.8776217673748721,25,0,Moderate,No,No,No,No,13.0,Fail
1083,15,Male,Black,Primary,14.407464254644058,7,0,None,Yes,Yes,No,No,63.0,Pass
1084,18,Female,Hispanic,Primary,8.88959955955582,16,0,Low,No,Yes,No,No,37.0,Fail
1085,17,Male,Asian,Secondary,5.125847507384352,12,0,High,Yes,Yes,No,No,59.0,Pass
1086,17,Male,Hispanic,Higher Education,3.808269920498204,23,0,High,No,No,No,No,29.0,Fail
1087,16,Male,Asian,Primary,13.399069817184362,20,1,Low,Yes,No,Yes,Yes,38.0,Fail
1088,15,Female,Hispanic,Primary,0.0080308805067974,27,0,Low,No,No,Yes,No,0.0,Fail
1089,18,Female,Asian,Primary,16.117823383937086,22,0,None,Yes,No,Yes,No,26.0,Fail
1090,16,Female,Hispanic,Primary,1.5849921225985764,10,0,Moderate,No,No,Yes,Yes,56.0,Pass
1091,18,Female,White,Primary,3.829792298162389,26,0,Low,No,No,No,Yes,5.0,Fail
